Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0589286	gNB PHY Rxed	5	8	0	1	0	0	SRS
0.0819286	gNB PHY Rxed	8	1	0	3	0	0	SRS
0.138929	gNB PHY Rxed	13	8	0	1	0	0	SRS
0.161929	gNB PHY Rxed	16	1	0	3	0	0	SRS
0.218929	gNB PHY Rxed	21	8	0	1	0	0	SRS
0.241929	gNB PHY Rxed	24	1	0	3	0	0	SRS
0.298929	gNB PHY Rxed	29	8	0	1	0	0	SRS
0.321929	gNB PHY Rxed	32	1	0	3	0	0	SRS
0.378929	gNB PHY Rxed	37	8	0	1	0	0	SRS
0.401929	gNB PHY Rxed	40	1	0	3	0	0	SRS
0.416	gNB PHY Rxed	41	5	0	1	1	0	DL_HARQ
0.416	gNB PHY Rxed	41	5	0	3	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	1	1	0	DL_HARQ
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_CQI
0.417	gNB PHY Rxed	41	6	0	3	1	0	DL_HARQ
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	1	1	0	DL_HARQ
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_CQI
0.418	gNB PHY Rxed	41	7	0	3	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	1	1	0	DL_HARQ
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_CQI
0.419	gNB PHY Rxed	41	8	0	3	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	3	1	0	DL_HARQ
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_CQI
0.42	gNB PHY Rxed	41	9	0	1	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	3	1	0	DL_HARQ
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_CQI
0.421	gNB PHY Rxed	42	0	0	1	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	3	1	0	DL_HARQ
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_CQI
0.422	gNB PHY Rxed	42	1	0	1	1	0	DL_HARQ
0.423	gNB PHY Rxed	42	2	0	3	1	0	DL_CQI
0.423	gNB PHY Rxed	42	2	0	1	1	0	DL_CQI
0.423	gNB PHY Rxed	42	2	0	1	1	0	DL_HARQ
0.424	gNB PHY Rxed	42	3	0	1	1	0	DL_CQI
0.424	gNB PHY Rxed	42	3	0	1	1	0	DL_HARQ
0.425	gNB PHY Rxed	42	4	0	1	1	0	DL_CQI
0.425	gNB PHY Rxed	42	4	0	1	1	0	DL_HARQ
0.426	gNB PHY Rxed	42	5	0	1	1	0	DL_CQI
0.426	gNB PHY Rxed	42	5	0	1	1	0	DL_HARQ
0.427	gNB PHY Rxed	42	6	0	1	1	0	DL_CQI
0.427	gNB PHY Rxed	42	6	0	1	1	0	DL_HARQ
0.428	gNB PHY Rxed	42	7	0	1	1	0	DL_CQI
0.428	gNB PHY Rxed	42	7	0	1	1	0	DL_HARQ
0.429	gNB PHY Rxed	42	8	0	1	1	0	DL_CQI
0.458929	gNB PHY Rxed	45	8	0	1	0	0	SRS
0.481929	gNB PHY Rxed	48	1	0	3	0	0	SRS
0.538929	gNB PHY Rxed	53	8	0	1	0	0	SRS
0.561929	gNB PHY Rxed	56	1	0	3	0	0	SRS
0.618929	gNB PHY Rxed	61	8	0	1	0	0	SRS
0.641929	gNB PHY Rxed	64	1	0	3	0	0	SRS
0.698929	gNB PHY Rxed	69	8	0	1	0	0	SRS
0.721929	gNB PHY Rxed	72	1	0	3	0	0	SRS
0.778929	gNB PHY Rxed	77	8	0	1	0	0	SRS
0.801929	gNB PHY Rxed	80	1	0	3	0	0	SRS
0.858929	gNB PHY Rxed	85	8	0	1	0	0	SRS
0.881929	gNB PHY Rxed	88	1	0	3	0	0	SRS
0.938929	gNB PHY Rxed	93	8	0	1	0	0	SRS
0.961929	gNB PHY Rxed	96	1	0	3	0	0	SRS
1.01893	gNB PHY Rxed	101	8	0	1	0	0	SRS
1.04193	gNB PHY Rxed	104	1	0	3	0	0	SRS
1.09893	gNB PHY Rxed	109	8	0	1	0	0	SRS
1.12193	gNB PHY Rxed	112	1	0	3	0	0	SRS
1.17893	gNB PHY Rxed	117	8	0	1	0	0	SRS
1.20193	gNB PHY Rxed	120	1	0	3	0	0	SRS
1.25893	gNB PHY Rxed	125	8	0	1	0	0	SRS
1.28193	gNB PHY Rxed	128	1	0	3	0	0	SRS
1.33893	gNB PHY Rxed	133	8	0	1	0	0	SRS
1.36193	gNB PHY Rxed	136	1	0	3	0	0	SRS
1.41893	gNB PHY Rxed	141	8	0	1	0	0	SRS
1.44193	gNB PHY Rxed	144	1	0	3	0	0	SRS
1.49893	gNB PHY Rxed	149	8	0	1	0	0	SRS
1.52193	gNB PHY Rxed	152	1	0	3	0	0	SRS
1.57893	gNB PHY Rxed	157	8	0	1	0	0	SRS
1.60193	gNB PHY Rxed	160	1	0	3	0	0	SRS
1.65893	gNB PHY Rxed	165	8	0	1	0	0	SRS
1.68193	gNB PHY Rxed	168	1	0	3	0	0	SRS
1.73893	gNB PHY Rxed	173	8	0	1	0	0	SRS
1.76193	gNB PHY Rxed	176	1	0	3	0	0	SRS
1.81893	gNB PHY Rxed	181	8	0	1	0	0	SRS
1.84193	gNB PHY Rxed	184	1	0	3	0	0	SRS
1.89893	gNB PHY Rxed	189	8	0	1	0	0	SRS
1.92193	gNB PHY Rxed	192	1	0	3	0	0	SRS
1.97893	gNB PHY Rxed	197	8	0	1	0	0	SRS
2.00193	gNB PHY Rxed	200	1	0	3	0	0	SRS
2.05893	gNB PHY Rxed	205	8	0	1	0	0	SRS
2.08193	gNB PHY Rxed	208	1	0	3	0	0	SRS
2.13893	gNB PHY Rxed	213	8	0	1	0	0	SRS
2.16193	gNB PHY Rxed	216	1	0	3	0	0	SRS
2.21893	gNB PHY Rxed	221	8	0	1	0	0	SRS
2.24193	gNB PHY Rxed	224	1	0	3	0	0	SRS
2.29893	gNB PHY Rxed	229	8	0	1	0	0	SRS
2.32193	gNB PHY Rxed	232	1	0	3	0	0	SRS
2.37893	gNB PHY Rxed	237	8	0	1	0	0	SRS
2.40193	gNB PHY Rxed	240	1	0	3	0	0	SRS
2.45893	gNB PHY Rxed	245	8	0	1	0	0	SRS
2.48193	gNB PHY Rxed	248	1	0	3	0	0	SRS
2.53893	gNB PHY Rxed	253	8	0	1	0	0	SRS
2.56193	gNB PHY Rxed	256	1	0	3	0	0	SRS
2.61893	gNB PHY Rxed	261	8	0	1	0	0	SRS
2.64193	gNB PHY Rxed	264	1	0	3	0	0	SRS
2.69893	gNB PHY Rxed	269	8	0	1	0	0	SRS
2.72193	gNB PHY Rxed	272	1	0	3	0	0	SRS
2.77893	gNB PHY Rxed	277	8	0	1	0	0	SRS
2.80193	gNB PHY Rxed	280	1	0	3	0	0	SRS
2.85893	gNB PHY Rxed	285	8	0	1	0	0	SRS
2.88193	gNB PHY Rxed	288	1	0	3	0	0	SRS
2.93893	gNB PHY Rxed	293	8	0	1	0	0	SRS
2.96193	gNB PHY Rxed	296	1	0	3	0	0	SRS
3.01893	gNB PHY Rxed	301	8	0	1	0	0	SRS
3.04193	gNB PHY Rxed	304	1	0	3	0	0	SRS
3.09893	gNB PHY Rxed	309	8	0	1	0	0	SRS
3.12193	gNB PHY Rxed	312	1	0	3	0	0	SRS
3.17893	gNB PHY Rxed	317	8	0	1	0	0	SRS
3.20193	gNB PHY Rxed	320	1	0	3	0	0	SRS
3.25893	gNB PHY Rxed	325	8	0	1	0	0	SRS
3.28193	gNB PHY Rxed	328	1	0	3	0	0	SRS
3.33893	gNB PHY Rxed	333	8	0	1	0	0	SRS
3.36193	gNB PHY Rxed	336	1	0	3	0	0	SRS
3.41893	gNB PHY Rxed	341	8	0	1	0	0	SRS
3.44193	gNB PHY Rxed	344	1	0	3	0	0	SRS
3.49893	gNB PHY Rxed	349	8	0	1	0	0	SRS
3.52193	gNB PHY Rxed	352	1	0	3	0	0	SRS
3.57893	gNB PHY Rxed	357	8	0	1	0	0	SRS
3.60193	gNB PHY Rxed	360	1	0	3	0	0	SRS
3.65893	gNB PHY Rxed	365	8	0	1	0	0	SRS
3.68193	gNB PHY Rxed	368	1	0	3	0	0	SRS
3.73893	gNB PHY Rxed	373	8	0	1	0	0	SRS
3.76193	gNB PHY Rxed	376	1	0	3	0	0	SRS
3.81893	gNB PHY Rxed	381	8	0	1	0	0	SRS
3.84193	gNB PHY Rxed	384	1	0	3	0	0	SRS
3.89893	gNB PHY Rxed	389	8	0	1	0	0	SRS
3.92193	gNB PHY Rxed	392	1	0	3	0	0	SRS
3.97893	gNB PHY Rxed	397	8	0	1	0	0	SRS
4.00193	gNB PHY Rxed	400	1	0	3	0	0	SRS
4.05893	gNB PHY Rxed	405	8	0	1	0	0	SRS
4.08193	gNB PHY Rxed	408	1	0	3	0	0	SRS
4.13893	gNB PHY Rxed	413	8	0	1	0	0	SRS
4.16193	gNB PHY Rxed	416	1	0	3	0	0	SRS
4.21893	gNB PHY Rxed	421	8	0	1	0	0	SRS
4.24193	gNB PHY Rxed	424	1	0	3	0	0	SRS
4.29893	gNB PHY Rxed	429	8	0	1	0	0	SRS
4.32193	gNB PHY Rxed	432	1	0	3	0	0	SRS
4.37893	gNB PHY Rxed	437	8	0	1	0	0	SRS
4.40193	gNB PHY Rxed	440	1	0	3	0	0	SRS
4.45893	gNB PHY Rxed	445	8	0	1	0	0	SRS
4.48193	gNB PHY Rxed	448	1	0	3	0	0	SRS
4.53893	gNB PHY Rxed	453	8	0	1	0	0	SRS
